building_age,roof_condition,foundation_condition,electrical_issues,plumbing_issues,structural_damage,mold_presence,pest_infestation,window_condition,paint_condition,flooring_condition,hvac_condition,number_of_violations,previous_repairs,risk_level
5,3,3,1,1,0,0,0,3,3,3,3,0,2,0
15,2,2,2,2,1,0,1,2,2,2,2,2,1,1
25,1,1,3,3,1,1,1,1,1,1,1,5,0,2
3,3,3,0,0,0,0,0,3,3,3,3,0,3,0
20,2,2,2,2,1,1,0,2,2,2,2,3,1,1
30,1,1,3,3,2,1,1,0,0,0,1,6,0,2
8,3,3,1,1,0,0,0,3,3,2,3,1,2,0
18,2,2,2,2,1,0,1,2,2,2,2,3,1,1
35,1,0,3,3,2,1,1,1,1,1,0,7,0,2
6,3,3,0,0,0,0,0,3,3,3,3,0,3,0
22,2,2,2,2,1,1,1,2,2,1,2,4,0,1
28,1,1,3,3,2,1,0,1,1,1,1,5,0,2
10,3,3,1,1,0,0,0,3,3,3,3,1,2,0
24,2,1,3,2,1,1,1,1,2,2,2,4,0,1
32,1,1,3,3,2,1,1,0,0,0,0,7,0,2
4,3,3,0,1,0,0,0,3,3,3,3,0,3,0
19,2,2,2,2,1,0,1,2,2,2,2,3,1,1
26,1,1,3,3,1,1,1,1,1,1,1,5,0,2
12,3,3,1,0,0,0,0,3,3,3,3,1,2,0
21,2,2,2,2,1,1,0,2,2,2,2,3,1,1
29,1,1,3,3,2,1,1,0,1,1,1,6,0,2
7,3,3,0,0,0,0,0,3,3,3,3,0,3,0
23,2,2,2,2,1,0,1,2,2,1,2,4,0,1
31,1,0,3,3,2,1,1,1,0,0,0,6,0,2
9,3,3,1,1,0,0,0,3,3,3,3,1,2,0
